Parameter,Parameter Code,Method Code,Recording Mode,Collection Description,Analysis Description,Method Type,Reference Method ID,Equivalent Method,Federal MDL,Min Value,Max Value,Digits,Round Truncate Indicator,Units
OC1 PM2.5 LC,88324,836,Intermittent,URG MASS450 Quartz WINS,IMPROVE TOR w/ Adjustment,,,,0.044,,,2,R,Micrograms/cubic meter (LC)
OC1 PM2.5 LC,88324,838,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE TOR w/STN Urban Adjustment,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC1 PM2.5 LC,88324,846,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE_A w/CSN urban adjustment,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC1 PM2.5 LC,88324,854,Intermittent,R&P MDL2300 PM2.5 Seq Spec Quartz,IMPROVE TOR w/ Adjustment,,,,0.074,,,2,R,Micrograms/cubic meter (LC)
OC1 PM2.5 LC,88324,856,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz,IMPROVE TOR w/ Adjustment,,,,0.044,,,2,R,Micrograms/cubic meter (LC)
OC1 PM2.5 LC,88324,858,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz VSCC,IMPROVE TOR w/ Adjustment,,,,0.044,,,2,R,Micrograms/cubic meter (LC)
OC1 PM2.5 LC,88324,876,Intermittent,URG MASS450 Quartz VSCC,IMPROVE TOR w/ Adjustment,,,,0.044,,,2,R,Micrograms/cubic meter (LC)
OC2 CSN Unadjusted PM2.5 LC TOT,88333,145,Intermittent,RP Partisol Model 2000 PM2.5 FRM Air Sampler-#,STN TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC2 CSN Unadjusted PM2.5 LC TOT,88333,803,Intermittent,IMPROVE,STN TOT,,,,0.021,,,2,R,Micrograms/cubic meter (LC)
OC2 CSN Unadjusted PM2.5 LC TOT,88333,809,Intermittent,IMPROVE Module C with Cyclone Inlet-Quartz Filter,STN TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC2 CSN Unadjusted PM2.5 LC TOT,88333,813,Intermittent,Met One SASS Quartz,STN TOT,,,,0.245,,,2,R,Micrograms/cubic meter (LC)
OC2 CSN Unadjusted PM2.5 LC TOT,88333,823,Intermittent,Andersen RAAS Quartz,STN TOT,,,,0.224,,,2,R,Micrograms/cubic meter (LC)
OC2 CSN Unadjusted PM2.5 LC TOT,88333,833,Intermittent,URG MASS450 Quartz WINS,STN TOT,,,,0.098,,,2,R,Micrograms/cubic meter (LC)
OC2 CSN Unadjusted PM2.5 LC TOT,88333,843,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz,STN TOT,,,,0.098,,,2,R,Micrograms/cubic meter (LC)
OC2 CSN Unadjusted PM2.5 LC TOT,88333,847,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz VSCC,STN TOT,,,,0.098,,,2,R,Micrograms/cubic meter (LC)
OC2 CSN Unadjusted PM2.5 LC TOT,88333,853,Intermittent,R&P MDL2300 PM2.5 Seq Spec Quartz,STN TOT,,,,0.163,,,2,R,Micrograms/cubic meter (LC)
OC2 CSN Unadjusted PM2.5 LC TOT,88333,873,Intermittent,URG MASS450 Quartz VSCC,STN TOT,,,,0.098,,,2,R,Micrograms/cubic meter (LC)
OC2 CSN Unadjusted PM2.5 LC TOT,88333,899,Intermittent,No Method-None,STN TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC2 CSN_Rev Unadjusted PM2.5 LC,88375,816,Intermittent,Met One SASS Quartz,IMPROVE_A,,,,0.4,,,3,R,Micrograms/cubic meter (LC)
OC2 CSN_Rev Unadjusted PM2.5 LC,88375,838,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE TOR,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC2 CSN_Rev Unadjusted PM2.5 LC,88375,841,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC2 CSN_Rev Unadjusted PM2.5 LC,88375,843,Intermittent,Met One SASS 22 LPM Quartz,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC2 CSN_Rev Unadjusted PM2.5 LC,88375,883,Intermittent,Model 2025 Dichot Sequential Quartz,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC2 CSN_Rev Unadjusted PM2.5 LC,88375,892,Intermittent,Model 2025 PM2.5 Sequential Quartz VSCC,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC2 CSN_rev Unadjusted PM10 LC,85375,888,Intermittent,Model 2025 PM10 Sequential Quartz,IMPROVE_A,,,,0.002,0,,3,R,Micrograms/cubic meter (LC)
OC2 CSN_rev Unadjusted PM10-2.5 LC,86375,883,Intermittent,Model 2025 Dichot Sequential Quartz,IMPROVE_A,,,,0.002,0,,3,R,Micrograms/cubic meter (LC)
OC2 PM2.5 LC,88325,804,Intermittent,IMPROVE,IMPROVE TOR w/ Adjustment,,,,0.018,,,2,R,Micrograms/cubic meter (LC)
OC2 PM2.5 LC,88325,809,Intermittent,IMPROVE Module C with Cyclone Inlet-Quartz Filter,IMPROVE TOR w/Adjustment,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC2 PM2.5 LC,88325,814,Intermittent,Met One SASS Quartz,IMPROVE TOR w/ Adjustment,,,,0.208,,,2,R,Micrograms/cubic meter (LC)
OC2 PM2.5 LC,88325,817,Intermittent,Met One SASS Quartz,IMPROVE TOR w/o Adjustment,,,,0.208,,,2,R,Micrograms/cubic meter (LC)
OC2 PM2.5 LC,88325,824,Intermittent,Andersen RAAS Quartz,IMPROVE TOR w/ Adjustment,,,,0.19,,,2,R,Micrograms/cubic meter (LC)
OC2 PM2.5 LC,88325,836,Intermittent,URG MASS450 Quartz WINS,IMPROVE TOR w/ Adjustment,,,,0.083,,,2,R,Micrograms/cubic meter (LC)
OC2 PM2.5 LC,88325,838,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE TOR w/STN Urban Adjustment,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC2 PM2.5 LC,88325,846,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE_A w/CSN urban adjustment,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC2 PM2.5 LC,88325,854,Intermittent,R&P MDL2300 PM2.5 Seq Spec Quartz,IMPROVE TOR w/ Adjustment,,,,0.139,,,2,R,Micrograms/cubic meter (LC)
OC2 PM2.5 LC,88325,856,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz,IMPROVE TOR w/ Adjustment,,,,0.083,,,2,R,Micrograms/cubic meter (LC)
OC2 PM2.5 LC,88325,858,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz VSCC,IMPROVE TOR w/ Adjustment,,,,0.083,,,2,R,Micrograms/cubic meter (LC)
OC2 PM2.5 LC,88325,876,Intermittent,URG MASS450 Quartz VSCC,IMPROVE TOR w/ Adjustment,,,,0.083,,,2,R,Micrograms/cubic meter (LC)
OC3 CSN Unadjusted PM2.5 LC TOT,88334,145,Intermittent,RP Partisol Model 2000 PM2.5 FRM Air Sampler-#,STN TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC3 CSN Unadjusted PM2.5 LC TOT,88334,803,Intermittent,IMPROVE,STN TOT,,,,0.021,,,2,R,Micrograms/cubic meter (LC)
OC3 CSN Unadjusted PM2.5 LC TOT,88334,809,Intermittent,IMPROVE Module C with Cyclone Inlet-Quartz Filter,STN TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC3 CSN Unadjusted PM2.5 LC TOT,88334,813,Intermittent,Met One SASS Quartz,STN TOT,,,,0.245,,,2,R,Micrograms/cubic meter (LC)
OC3 CSN Unadjusted PM2.5 LC TOT,88334,823,Intermittent,Andersen RAAS Quartz,STN TOT,,,,0.224,,,2,R,Micrograms/cubic meter (LC)
OC3 CSN Unadjusted PM2.5 LC TOT,88334,833,Intermittent,URG MASS450 Quartz WINS,STN TOT,,,,0.098,,,2,R,Micrograms/cubic meter (LC)
OC3 CSN Unadjusted PM2.5 LC TOT,88334,843,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz,STN TOT,,,,0.098,,,2,R,Micrograms/cubic meter (LC)
OC3 CSN Unadjusted PM2.5 LC TOT,88334,847,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz VSCC,STN TOT,,,,0.098,,,2,R,Micrograms/cubic meter (LC)
OC3 CSN Unadjusted PM2.5 LC TOT,88334,853,Intermittent,R&P MDL2300 PM2.5 Seq Spec Quartz,STN TOT,,,,0.163,,,2,R,Micrograms/cubic meter (LC)
OC3 CSN Unadjusted PM2.5 LC TOT,88334,873,Intermittent,URG MASS450 Quartz VSCC,STN TOT,,,,0.098,,,2,R,Micrograms/cubic meter (LC)
OC3 CSN Unadjusted PM2.5 LC TOT,88334,899,Intermittent,No Method-None,STN TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC3 CSN_Rev Unadjusted PM2.5 LC,88376,816,Intermittent,Met One SASS Quartz,IMPROVE_A,,,,0.4,,,3,R,Micrograms/cubic meter (LC)
OC3 CSN_Rev Unadjusted PM2.5 LC,88376,838,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE TOR,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC3 CSN_Rev Unadjusted PM2.5 LC,88376,841,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC3 CSN_Rev Unadjusted PM2.5 LC,88376,843,Intermittent,Met One SASS 22 LPM Quartz,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC3 CSN_Rev Unadjusted PM2.5 LC,88376,883,Intermittent,Model 2025 Dichot Sequential Quartz,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC3 CSN_Rev Unadjusted PM2.5 LC,88376,892,Intermittent,Model 2025 PM2.5 Sequential Quartz VSCC,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC3 CSN_rev Unadjusted PM10 LC,85376,888,Intermittent,Model 2025 PM10 Sequential Quartz,IMPROVE_A,,,,0.002,0,,3,R,Micrograms/cubic meter (LC)
OC3 CSN_rev Unadjusted PM10-2.5 LC,86376,883,Intermittent,Model 2025 Dichot Sequential Quartz,IMPROVE_A,,,,0.002,0,,3,R,Micrograms/cubic meter (LC)
OC3 PM2.5 LC,88326,804,Intermittent,IMPROVE,IMPROVE TOR w/ Adjustment,,,,0.06,,,2,R,Micrograms/cubic meter (LC)
OC3 PM2.5 LC,88326,809,Intermittent,IMPROVE Module C with Cyclone Inlet-Quartz Filter,IMPROVE TOR w/Adjustment,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC3 PM2.5 LC,88326,814,Intermittent,Met One SASS Quartz,IMPROVE TOR w/ Adjustment,,,,0.686,,,2,R,Micrograms/cubic meter (LC)
OC3 PM2.5 LC,88326,817,Intermittent,Met One SASS Quartz,IMPROVE TOR w/o Adjustment,,,,0.686,,,2,R,Micrograms/cubic meter (LC)
OC3 PM2.5 LC,88326,824,Intermittent,Andersen RAAS Quartz,IMPROVE TOR w/ Adjustment,,,,0.627,,,2,R,Micrograms/cubic meter (LC)
OC3 PM2.5 LC,88326,836,Intermittent,URG MASS450 Quartz WINS,IMPROVE TOR w/ Adjustment,,,,0.274,,,2,R,Micrograms/cubic meter (LC)
OC3 PM2.5 LC,88326,838,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE TOR w/STN Urban Adjustment,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC3 PM2.5 LC,88326,846,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE_A w/CSN urban adjustment,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC3 PM2.5 LC,88326,854,Intermittent,R&P MDL2300 PM2.5 Seq Spec Quartz,IMPROVE TOR w/ Adjustment,,,,0.457,,,2,R,Micrograms/cubic meter (LC)
OC3 PM2.5 LC,88326,856,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz,IMPROVE TOR w/ Adjustment,,,,0.274,,,2,R,Micrograms/cubic meter (LC)
OC3 PM2.5 LC,88326,858,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz VSCC,IMPROVE TOR w/ Adjustment,,,,0.274,,,2,R,Micrograms/cubic meter (LC)
OC3 PM2.5 LC,88326,876,Intermittent,URG MASS450 Quartz VSCC,IMPROVE TOR w/ Adjustment,,,,0.274,,,2,R,Micrograms/cubic meter (LC)
OC4 CSN Unadjusted PM2.5 LC TOT,88335,145,Intermittent,RP Partisol Model 2000 PM2.5 FRM Air Sampler-#,STN TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC4 CSN Unadjusted PM2.5 LC TOT,88335,803,Intermittent,IMPROVE,STN TOT,,,,0.021,,,2,R,Micrograms/cubic meter (LC)
OC4 CSN Unadjusted PM2.5 LC TOT,88335,809,Intermittent,IMPROVE Module C with Cyclone Inlet-Quartz Filter,STN TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC4 CSN Unadjusted PM2.5 LC TOT,88335,813,Intermittent,Met One SASS Quartz,STN TOT,,,,0.245,,,2,R,Micrograms/cubic meter (LC)
OC4 CSN Unadjusted PM2.5 LC TOT,88335,823,Intermittent,Andersen RAAS Quartz,STN TOT,,,,0.224,,,2,R,Micrograms/cubic meter (LC)
OC4 CSN Unadjusted PM2.5 LC TOT,88335,833,Intermittent,URG MASS450 Quartz WINS,STN TOT,,,,0.098,,,2,R,Micrograms/cubic meter (LC)
OC4 CSN Unadjusted PM2.5 LC TOT,88335,843,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz,STN TOT,,,,0.098,,,2,R,Micrograms/cubic meter (LC)
OC4 CSN Unadjusted PM2.5 LC TOT,88335,847,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz VSCC,STN TOT,,,,0.098,,,2,R,Micrograms/cubic meter (LC)
OC4 CSN Unadjusted PM2.5 LC TOT,88335,853,Intermittent,R&P MDL2300 PM2.5 Seq Spec Quartz,STN TOT,,,,0.163,,,2,R,Micrograms/cubic meter (LC)
OC4 CSN Unadjusted PM2.5 LC TOT,88335,873,Intermittent,URG MASS450 Quartz VSCC,STN TOT,,,,0.098,,,2,R,Micrograms/cubic meter (LC)
OC4 CSN Unadjusted PM2.5 LC TOT,88335,899,Intermittent,No Method-None,STN TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC4 CSN_Rev Unadjusted PM2.5 LC,88377,816,Intermittent,Met One SASS Quartz,IMPROVE_A,,,,0.4,,,3,R,Micrograms/cubic meter (LC)
OC4 CSN_Rev Unadjusted PM2.5 LC,88377,838,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE TOR,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC4 CSN_Rev Unadjusted PM2.5 LC,88377,841,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC4 CSN_Rev Unadjusted PM2.5 LC,88377,843,Intermittent,Met One SASS 22 LPM Quartz,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC4 CSN_Rev Unadjusted PM2.5 LC,88377,883,Intermittent,Model 2025 Dichot Sequential Quartz,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC4 CSN_Rev Unadjusted PM2.5 LC,88377,892,Intermittent,Model 2025 PM2.5 Sequential Quartz VSCC,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC4 CSN_rev Unadjusted PM10 LC,85377,888,Intermittent,Model 2025 PM10 Sequential Quartz,IMPROVE_A,,,,0.002,0,,3,R,Micrograms/cubic meter (LC)
OC4 CSN_rev Unadjusted PM10-2.5 LC,86377,883,Intermittent,Model 2025 Dichot Sequential Quartz,IMPROVE_A,,,,0.002,0,,3,R,Micrograms/cubic meter (LC)
OC4 PM2.5 LC,88327,804,Intermittent,IMPROVE,IMPROVE TOR w/ Adjustment,,,,0.023,,,2,R,Micrograms/cubic meter (LC)
OC4 PM2.5 LC,88327,809,Intermittent,IMPROVE Module C with Cyclone Inlet-Quartz Filter,IMPROVE TOR w/Adjustment,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC4 PM2.5 LC,88327,814,Intermittent,Met One SASS Quartz,IMPROVE TOR w/ Adjustment,,,,0.27,,,2,R,Micrograms/cubic meter (LC)
OC4 PM2.5 LC,88327,817,Intermittent,Met One SASS Quartz,IMPROVE TOR w/o Adjustment,,,,0.27,,,2,R,Micrograms/cubic meter (LC)
OC4 PM2.5 LC,88327,824,Intermittent,Andersen RAAS Quartz,IMPROVE TOR w/ Adjustment,,,,0.246,,,2,R,Micrograms/cubic meter (LC)
OC4 PM2.5 LC,88327,836,Intermittent,URG MASS450 Quartz WINS,IMPROVE TOR w/ Adjustment,,,,0.108,,,2,R,Micrograms/cubic meter (LC)
OC4 PM2.5 LC,88327,838,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE TOR w/STN Urban Adjustment,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC4 PM2.5 LC,88327,846,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE_A w/CSN urban adjustment,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OC4 PM2.5 LC,88327,854,Intermittent,R&P MDL2300 PM2.5 Seq Spec Quartz,IMPROVE TOR w/ Adjustment,,,,0.18,,,2,R,Micrograms/cubic meter (LC)
OC4 PM2.5 LC,88327,856,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz,IMPROVE TOR w/ Adjustment,,,,0.108,,,2,R,Micrograms/cubic meter (LC)
OC4 PM2.5 LC,88327,858,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz VSCC,IMPROVE TOR w/ Adjustment,,,,0.108,,,2,R,Micrograms/cubic meter (LC)
OC4 PM2.5 LC,88327,876,Intermittent,URG MASS450 Quartz VSCC,IMPROVE TOR w/ Adjustment,,,,0.108,,,2,R,Micrograms/cubic meter (LC)
OCH PM2.5 LC TOT,88322,804,Intermittent,IMPROVE,11*(H-0.25*Sulfur)),,,,0.086,,,2,R,Micrograms/cubic meter (LC)
OCH PM2.5 LC TOT,88322,814,Intermittent,Met One SASS Quartz,11*(H-0.25*Sulfur)),,,,0.992,,,2,R,Micrograms/cubic meter (LC)
OCH PM2.5 LC TOT,88322,824,Intermittent,Andersen RAAS Quartz,11*(H-0.25*Sulfur)),,,,0.907,,,2,R,Micrograms/cubic meter (LC)
OCH PM2.5 LC TOT,88322,836,Intermittent,URG MASS450 Quartz WINS,11*(H-0.25*Sulfur)),,,,0.397,,,2,R,Micrograms/cubic meter (LC)
OCH PM2.5 LC TOT,88322,854,Intermittent,R&P MDL2300 PM2.5 Seq Spec Quartz,11*(H-0.25*Sulfur)),,,,0.662,,,2,R,Micrograms/cubic meter (LC)
OCH PM2.5 LC TOT,88322,856,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz,11*(H-0.25*Sulfur)),,,,0.397,,,2,R,Micrograms/cubic meter (LC)
OCH PM2.5 LC TOT,88322,858,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz VSCC,11*(H-0.25*Sulfur)),,,,0.397,,,2,R,Micrograms/cubic meter (LC)
OCH PM2.5 LC TOT,88322,876,Intermittent,URG MASS450 Quartz VSCC,11*(H-0.25*Sulfur)),,,,0.397,,,2,R,Micrograms/cubic meter (LC)
OCX Carbon PM2.5 LC,88304,813,Intermittent,Met One SASS Quartz,Thermal Optical Transmittance,,,,0.134,,,2,R,Micrograms/cubic meter (LC)
OCX Carbon PM2.5 LC,88304,823,Intermittent,Andersen RAAS Quartz,Thermal Optical Transmittance,,,,0.134,,,2,R,Micrograms/cubic meter (LC)
OCX Carbon PM2.5 LC,88304,833,Intermittent,URG MASS450 Quartz WINS,Thermal Optical Transmittance,,,,0.134,,,2,R,Micrograms/cubic meter (LC)
OCX Carbon PM2.5 LC,88304,843,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz,Thermal Optical Transmittance,,,,0.134,,,2,R,Micrograms/cubic meter (LC)
OCX Carbon PM2.5 LC,88304,847,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz VSCC,Thermal Optical Transmittance,,,,0.134,,,2,R,Micrograms/cubic meter (LC)
OCX Carbon PM2.5 LC,88304,853,Intermittent,R&P MDL2300 PM2.5 Seq Spec Quartz,Thermal Optical Transmittance,,,,0.09782,,,2,R,Micrograms/cubic meter (LC)
OCX Carbon PM2.5 LC,88304,873,Intermittent,URG MASS450 Quartz VSCC,Thermal Optical Transmittance,,,,0.134,,,2,R,Micrograms/cubic meter (LC)
OCX2 Carbon PM2.5 LC,88311,813,Intermittent,Met One SASS Quartz,Thermal Optical Transmittance,,,,0.146,,,2,R,Micrograms/cubic meter (LC)
OCX2 Carbon PM2.5 LC,88311,823,Intermittent,Andersen RAAS Quartz,Thermal Optical Transmittance,,,,0.134,,,2,R,Micrograms/cubic meter (LC)
OCX2 Carbon PM2.5 LC,88311,833,Intermittent,URG MASS450 Quartz WINS,Thermal Optical Transmittance,,,,0.059,,,2,R,Micrograms/cubic meter (LC)
OCX2 Carbon PM2.5 LC,88311,843,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz,Thermal Optical Transmittance,,,,0.059,,,2,R,Micrograms/cubic meter (LC)
OCX2 Carbon PM2.5 LC,88311,847,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz VSCC,Thermal Optical Transmittance,,,,0.059,,,2,R,Micrograms/cubic meter (LC)
OCX2 Carbon PM2.5 LC,88311,853,Intermittent,R&P MDL2300 PM2.5 Seq Spec Quartz,Thermal Optical Transmittance,,,,0.09782,,,2,R,Micrograms/cubic meter (LC)
OCX2 Carbon PM2.5 LC,88311,873,Intermittent,URG MASS450 Quartz VSCC,Thermal Optical Transmittance,,,,0.059,,,2,R,Micrograms/cubic meter (LC)
OP CSN PM2.5 LC TOT,88336,145,Intermittent,RP Partisol Model 2000 PM2.5 FRM Air Sampler-#,STN TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN PM2.5 LC TOT,88336,803,Intermittent,IMPROVE,STN TOT,,,,0.021,,,2,R,Micrograms/cubic meter (LC)
OP CSN PM2.5 LC TOT,88336,809,Intermittent,IMPROVE Module C with Cyclone Inlet-Quartz Filter,STN TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN PM2.5 LC TOT,88336,813,Intermittent,Met One SASS Quartz,STN TOT,,,,0.245,,,2,R,Micrograms/cubic meter (LC)
OP CSN PM2.5 LC TOT,88336,823,Intermittent,Andersen RAAS Quartz,STN TOT,,,,0.224,,,2,R,Micrograms/cubic meter (LC)
OP CSN PM2.5 LC TOT,88336,833,Intermittent,URG MASS450 Quartz WINS,STN TOT,,,,0.098,,,2,R,Micrograms/cubic meter (LC)
OP CSN PM2.5 LC TOT,88336,843,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz,STN TOT,,,,0.098,-50,,2,R,Micrograms/cubic meter (LC)
OP CSN PM2.5 LC TOT,88336,847,Intermittent,R & P Model 2025 PM2.5 Sequential Quartz VSCC,STN TOT,,,,0.098,-50,,2,R,Micrograms/cubic meter (LC)
OP CSN PM2.5 LC TOT,88336,853,Intermittent,R&P MDL2300 PM2.5 Seq Spec Quartz,STN TOT,,,,0.163,,,2,R,Micrograms/cubic meter (LC)
OP CSN PM2.5 LC TOT,88336,873,Intermittent,URG MASS450 Quartz VSCC,STN TOT,,,,0.098,,,2,R,Micrograms/cubic meter (LC)
OP CSN PM2.5 LC TOT,88336,899,Intermittent,No Method-None,STN TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN_Rev Unadjusted PM2.5 LC TOR,88378,816,Intermittent,OP CSN_Rev Unadjusted PM2.5 LC TORMet One SASS Quartz,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN_Rev Unadjusted PM2.5 LC TOR,88378,838,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE TOR,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN_Rev Unadjusted PM2.5 LC TOR,88378,842,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE_A TOR,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN_Rev Unadjusted PM2.5 LC TOR,88378,843,Intermittent,Met One SASS 22 LPM Quartz,IMPROVE_A TOR,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN_Rev Unadjusted PM2.5 LC TOR,88378,883,Intermittent,Model 2025 Dichot Sequential Quartz,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN_Rev Unadjusted PM2.5 LC TOR,88378,892,Intermittent,Model 2025 PM2.5 Sequential Quartz VSCC,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN_Rev Unadjusted PM2.5 LC TOT,88388,816,Intermittent,OP CSN_REV Unadjusted PM2.5 LC TOT Met One SASS Quartz,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN_Rev Unadjusted PM2.5 LC TOT,88388,826,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE_A TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN_Rev Unadjusted PM2.5 LC TOT,88388,838,Intermittent,URG 3000N w/Pall Quartz filter and Cyclone Inlet,IMPROVE TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN_Rev Unadjusted PM2.5 LC TOT,88388,843,Intermittent,Met One SASS 22 LPM Quartz,IMPROVE_TOT,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN_Rev Unadjusted PM2.5 LC TOT,88388,883,Intermittent,Model 2025 Dichot Sequential Quartz,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN_Rev Unadjusted PM2.5 LC TOT,88388,892,Intermittent,Model 2025 PM2.5 Sequential Quartz VSCC,IMPROVE_A,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP CSN_rev Unadjusted PM10-2.5 LC TOR,86378,883,Intermittent,Model 2025 Dichot Sequential Quartz,IMPROVE_A,,,,0.002,0,,3,R,Micrograms/cubic meter (LC)
OP CSN_rev Unadjusted PM10-2.5 LC TOT,86388,883,Intermittent,Model 2025 Dichot Sequential Quartz,IMPROVE_A,,,,0.002,0,,3,R,Micrograms/cubic meter (LC)
OP PM2.5 LC TOR,88328,804,Intermittent,IMPROVE,IMPROVE TOR w/ Adjustment,,,,0.017,,,2,R,Micrograms/cubic meter (LC)
OP PM2.5 LC TOR,88328,809,Intermittent,IMPROVE Module C with Cyclone Inlet-Quartz Filter,IMPROVE TOR w/Adjustment,,,,0.002,,,3,R,Micrograms/cubic meter (LC)
OP PM2.5 LC TOR,88328,814,Intermittent,Met One SASS Quartz,IMPROVE TOR w/ Adjustment,,,,0.196,,,2,R,Micrograms/cubic meter (LC)
OP PM2.5 LC TOR,88328,817,Intermittent,Met One SASS Quartz,IMPROVE TOR w/o Adjustment,,,,0.196,,,2,R,Micrograms/cubic meter (LC)
